HTS Number,Description,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,CIF Value,Product Cost,Freight,Insurance,General Rate of Duty Parsed (%),General Rate of Duty Duty Amount,Special Rate of Duty Parsed (%),Special Rate of Duty Duty Amount,Column 2 Rate of Duty Parsed (%),Column 2 Rate of Duty Duty Amount
0101.29.00,Other,Free,,20%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.2,2120.0
0101.30.00.00,Asses,6.8%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,10600.0,10000.0,500.0,100.0,0.068,720.8000000000001,0.0,0.0,0.15,1590.0
0101.90.40.00,Other,4.5%,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,10600.0,10000.0,500.0,100.0,0.045,477.0,0.0,0.0,0.2,2120.0
0102.29.20,Cows imported specially for dairy purposes,Free,,6.6¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.006226415094339623,66.0
0102.29.40,Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0009433962264150943,10.0,0.0,0.0,0.005188679245283019,55.0
0102.39.00,Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0009433962264150943,10.0,0.0,0.0,0.005188679245283019,55.0
0102.90.00.00,Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0009433962264150943,10.0,0.0,0.0,0.005188679245283019,55.0
0103.91.00,Weighing less than 50 kg each,Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0103.92.00,Weighing 50 kg or more each,Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0105.94.00.00,Chickens,2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",17.6¢/kg,10600.0,10000.0,500.0,100.0,0.0018867924528301887,20.0,0.0,0.0,0.01660377358490566,176.0
0105.99.00.00,Other,2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",17.6¢/kg,10600.0,10000.0,500.0,100.0,0.0018867924528301887,20.0,0.0,0.0,0.01660377358490566,176.0
0106.11.00.00,Primates,Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.12.01.00,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.13.00.00,Camels and other camelids (Camelidae),Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.14.00.00,Rabbits and hares,Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.19.30.00,Foxes,4.8%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",15%,10600.0,10000.0,500.0,100.0,0.048,508.8,0.0,0.0,0.15,1590.0
0106.19.91,Other,Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.20.00.00,Reptiles (including snakes and turtles),Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.31.00.00,Birds of prey,1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.018000000000000002,190.8,0.0,0.0,0.2,2120.0
0106.32.00.00,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.018000000000000002,190.8,0.0,0.0,0.2,2120.0
